"","year","coherence_z","coherence_pvalue","turnover_z","turnover_pvalue","boundary_index","boundary_P","pattern"
"1",1977,5.20835242512923,1.90524793575691e-07,10.1259552252294,4.23819990849078e-24,5.06666666666667,1.28135135835095e-09,"evenly_spaced_gradients"
"2",1978,5.10812901690384,3.25364468417143e-07,10.5588465193446,4.62307651594091e-26,5.06666666666667,1.28135135835095e-09,"evenly_spaced_gradients"
"3",1979,5.13785889137077,2.77886413784304e-07,10.282312642567,8.46711287177758e-25,5.06666666666667,1.28135135835095e-09,"evenly_spaced_gradients"
"4",1980,5.10502303197637,3.30754228167487e-07,9.66525321015878,4.2357114238673e-22,5.06666666666667,1.28135135835095e-09,"evenly_spaced_gradients"
"5",1981,4.70951123616325,2.48311525771878e-06,9.82028999969812,9.20782749808166e-23,5.06666666666667,1.28135135835095e-09,"evenly_spaced_gradients"
"6",1982,4.99607754164823,5.85081426484512e-07,9.88462720252506,4.85385054797641e-23,5.06666666666667,1.28135135835095e-09,"evenly_spaced_gradients"
"7",1983,5.04235723808102,4.59831798346496e-07,9.979830634899,1.8678533310913e-23,5.06666666666667,1.28135135835095e-09,"evenly_spaced_gradients"
"8",1984,5.02207158610494,5.1117122989493e-07,10.1930812526038,2.12907057605044e-24,5.06666666666667,1.28135135835095e-09,"evenly_spaced_gradients"
"9",1985,5.04998707646644,4.41839955370559e-07,9.79063383962899,1.23519120129448e-22,5.06666666666667,1.28135135835095e-09,"evenly_spaced_gradients"
"10",1986,4.70156355377906,2.58176879836774e-06,10.4129612628612,2.16384023378594e-25,5.06666666666667,1.28135135835095e-09,"evenly_spaced_gradients"
"11",1987,4.92914828289566,8.25888739963119e-07,10.2710808931613,9.51327338139437e-25,5.06666666666667,1.28135135835095e-09,"evenly_spaced_gradients"
"12",1988,4.00022855157393,6.32813374037048e-05,10.1112289356164,4.92624080815275e-24,5.85833333333333,1.00535135771906e-11,"evenly_spaced_gradients"
"13",1989,3.59946718531607,0.000318869866720691,9.8034011476471,1.08857216080914e-22,6.49166666666667,1.89070981093664e-13,"evenly_spaced_gradients"
"14",1990,3.52791969180586,0.000418839207220272,9.90566800740108,3.93332623934922e-23,6.49166666666667,1.89070981093664e-13,"evenly_spaced_gradients"
"15",1991,4.76150528528963,1.92154265236266e-06,9.97711407181491,1.91969054730644e-23,5.38333333333333,1.87625248670997e-10,"evenly_spaced_gradients"
"16",1992,2.807333356645,0.00499535180905828,9.28156607173171,1.67005551111699e-20,10.2916666666667,0,"evenly_spaced_gradients"
"17",1993,4.78687518148206,1.69398112567141e-06,9.76185475640778,1.64125681358997e-22,4.59166666666667,2.17114529688089e-08,"evenly_spaced_gradients"
"18",1994,4.6273151799066,3.70436553791067e-06,9.89431794482203,4.40603489034038e-23,4.59166666666667,2.17114529688089e-08,"evenly_spaced_gradients"
"19",1995,4.67230618488091,2.97836519341133e-06,9.90690312824345,3.88501839781125e-23,4.59166666666667,2.17114529688089e-08,"evenly_spaced_gradients"
"20",1996,4.62064669881065,3.8254573719736e-06,9.76435430298243,1.60128759739774e-22,4.59166666666667,2.17114529688089e-08,"evenly_spaced_gradients"
"21",1997,4.53820088192421,5.67362007653648e-06,9.87921704853648,5.12316206531246e-23,4.59166666666667,2.17114529688089e-08,"evenly_spaced_gradients"
"22",1998,4.57644788604278,4.72937452697546e-06,9.71907609122382,2.50039874234272e-22,4.59166666666667,2.17114529688089e-08,"evenly_spaced_gradients"
"23",1999,5.18183588585726,2.19712496279371e-07,9.40305658380954,5.30005665699395e-21,4.61029411764706,4.66997351900034e-09,"evenly_spaced_gradients"
"24",2000,5.28314604393613,1.26984080301461e-07,8.95354759139359,3.44237355921646e-19,4.61029411764706,4.66997351900034e-09,"evenly_spaced_gradients"
"25",2001,5.1432072099014,2.70087443548587e-07,8.95594452365229,3.36839349995649e-19,4.61029411764706,4.66997351900034e-09,"evenly_spaced_gradients"
"26",2002,5.37188830118305,7.79163704085211e-08,8.83073992091078,1.03985522421809e-18,4.61029411764706,4.66997351900034e-09,"evenly_spaced_gradients"
