"","year","coherence_z","coherence_pvalue","turnover_z","turnover_pvalue","boundary_index","boundary_P","pattern"
"1",1977,1.34936969864304,0.177218248561552,4.95389901071683,7.2740969397511e-07,1.9,0.250228882281128,"random"
"2",1978,1.40392948072781,0.160339849855394,5.31879811003565,1.04454962741502e-07,1.9,0.250228882281128,"random"
"3",1979,1.33320296971364,0.18246520506223,5.11021120817625,3.21798859097937e-07,1.9,0.250228882281128,"random"
"4",1980,1.42560922889908,0.153981170811245,5.11742066917144,3.09742272248625e-07,1.9,0.250228882281128,"random"
"5",1981,1.39827669215192,0.16202999426857,5.39326106060071,6.91903132780742e-08,1.9,0.250228882281128,"random"
"6",1982,1.32335905276045,0.185716002095229,5.21118296049411,1.8764028630796e-07,1.9,0.250228882281128,"random"
"7",1983,1.32192012642243,0.186194749675352,5.09319024897221,3.52088071241185e-07,1.9,0.250228882281128,"random"
"8",1984,1.3808228989211,0.167333420908272,5.11209428816624,3.1860672260812e-07,1.9,0.250228882281128,"random"
"9",1985,1.41320308293838,0.157596020333219,5.06501251682279,4.08373517315669e-07,1.9,0.250228882281128,"random"
"10",1986,1.29531927709867,0.195210111894273,5.07126682567458,3.95176244303133e-07,1.9,0.250228882281128,"random"
"11",1987,1.32388406159932,0.185541552344094,5.12593254914616,2.96068595747245e-07,1.9,0.250228882281128,"random"
"12",1988,1.30366973337985,0.192346213288343,5.04224749176541,4.60095675621732e-07,1.9,0.250228882281128,"random"
"13",1989,1.38070712962628,0.167369028255827,5.20086556366679,1.98362548416906e-07,1.9,0.250228882281128,"random"
"14",1990,1.34985749722872,0.177061697408989,5.46132013045066,4.72606930262229e-08,1.9,0.250228882281128,"random"
"15",1991,2.40354275605508,0.0162370681390287,3.514923458618,0.000439880751052304,2.71428571428571,0.057838259945008,"Gleasonian"
"16",1992,0.494677094815004,0.62082807244169,3.34519819403101,0.000822237915831521,1.9,0.250228882281128,"random"
"17",1993,0.39120206754506,0.695647880165498,3.40369099621944,0.000664819157292027,0,0.338032880858517,"random"
"18",1994,0.350940645683666,0.725632877521068,3.45349408317027,0.000553374442791994,0,0.338032880858517,"random"
"19",1995,0.428477634190057,0.668303413606665,3.39195984092843,0.000693946104126433,0,0.338032880858517,"random"
"20",1996,0.377860514734273,0.705534216215854,3.40191252108031,0.000669160535034709,0,0.338032880858517,"random"
"21",1997,0.390263366797296,0.696341808939452,3.23746241933186,0.0012059782225253,0,0.338032880858517,"random"
"22",1998,0.356485968950081,0.721476657999147,3.3497768193756,0.000808766968093876,0,0.338032880858517,"random"
"23",1999,0.342745517291716,0.731789916663233,3.35182683326689,0.000802802166179384,0,0.338032880858517,"random"
"24",2000,0.32869325375669,0.742387553989681,3.08252238068596,0.00205254295428861,0,0.338032880858517,"random"
"25",2001,0.388856410583912,0.697382368680641,3.51308240859099,0.000442940072970464,0,0.338032880858517,"random"
"26",2002,0.379372169117778,0.704411514453873,3.29105186619523,0.000998135083158541,0,0.338032880858517,"random"
"27",2003,0.329018376397315,0.742141798269104,3.41814264736182,0.000630500527268491,0,0.338032880858517,"random"
"28",2004,0.382476176456092,0.702108196532548,3.16770456852281,0.00153647569746935,0,0.338032880858517,"random"
"29",2005,0.383379887723356,0.701438113526595,3.21137771999635,0.00132100176516845,0,0.338032880858517,"random"
"30",2006,0.388802561478245,0.697422205845151,3.45788685140511,0.000544429985650579,0,0.338032880858517,"random"
"31",2007,0.35343335980977,0.723763579995628,3.55757877006864,0.000374288882179337,0,0.338032880858517,"random"
"32",2008,0.424729237022846,0.671034067902708,3.17413084540425,0.00150285925514793,0,0.338032880858517,"random"
"33",2009,0.348274877879887,0.727633758787063,3.30331253950587,0.000955498298785927,0,0.338032880858517,"random"
"34",2010,0.373301065995648,0.708924383151968,3.24784981914908,0.00116280627749181,0,0.338032880858517,"random"
"35",2011,1.38811852059126,0.165100957809751,5.29455512107328,1.19306499310205e-07,2.53333333333333,0.107627348633227,"random"
"36",2012,1.36262683348241,0.173000147562921,5.18246609799503,2.18971176805696e-07,2.53333333333333,0.107627348633227,"random"
"37",2013,1.48064018193154,0.138702481847074,5.06514831469509,4.08082504600105e-07,2.53333333333333,0.107627348633227,"random"
"38",2014,2.33164204863535,0.0197195298194497,3.82221070437129,0.000132260600770009,2.71428571428571,0.037446493479673,"evenly_spaced_gradients"
"39",2015,2.36779495421343,0.0178944501468897,3.70879100729036,0.000208251224448444,2.71428571428571,0.037446493479673,"evenly_spaced_gradients"
"40",2016,2.3146805900661,0.0206304187802088,3.90693011396435,9.34761753722639e-05,2.71428571428571,0.037446493479673,"evenly_spaced_gradients"
